tokenizer,format,distribution,dim,precision_digits,n_vectors,n_tokens_total,length_mismatch_rate,mean_abs_error,median_abs_error,mean_rel_error,median_rel_error,mean_sig_digits,perfect_recovery_rate,mean_normalized_l2,mean_cosine_sim,mean_spearman_rho,mantel_r,mantel_p
mistral,csv,uniform,10,2.0,250,26726,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,json,uniform,10,2.0,250,26976,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,scientific,uniform,10,2.0,250,34750,0.0,0.02236799999802606,0.02000000001862645,5.751220442683367e-08,4.056921946881854e-08,8.5816,0.1936,4.856916426647723e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
mistral,natural_language,uniform,10,2.0,250,27976,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,digit_by_digit,uniform,10,2.0,250,43702,1.0,499343.7972440001,493826.95,0.9999637523990714,0.9999907684531657,0.0,0.0,0.9999927619450371,0.7565443283360856,0.033707896219107754,0.09177759243500351,0.000999000999000999
gpt4o,csv,uniform,10,2.0,250,14498,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,json,uniform,10,2.0,250,14998,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,scientific,uniform,10,2.0,250,22000,0.0,0.02236799999802606,0.02000000001862645,5.751220442683367e-08,4.056921946881854e-08,8.5816,0.1936,4.856916426647723e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
gpt4o,natural_language,uniform,10,2.0,250,15998,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,digit_by_digit,uniform,10,2.0,250,43452,1.0,499343.7972440001,493826.95,0.9999637523990714,0.9999907684531657,0.0,0.0,0.9999927619450371,0.7565443283360856,0.033707896219107754,0.09177759243500351,0.000999000999000999
python_str,csv,uniform,10,2.0,250,26476,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,json,uniform,10,2.0,250,26976,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,scientific,uniform,10,2.0,250,34500,0.0,0.02236799999802606,0.02000000001862645,5.751220442683367e-08,4.056921946881854e-08,8.5816,0.1936,4.856916426647723e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
python_str,natural_language,uniform,10,2.0,250,31476,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,digit_by_digit,uniform,10,2.0,250,48202,1.0,499343.7972440001,493826.95,0.9999637523990714,0.9999907684531657,0.0,0.0,0.9999927619450371,0.7565443283360856,0.033707896219107754,0.09177759243500351,0.000999000999000999
float16,native,uniform,10,4.0,250,0,0.0,inf,inf,inf,inf,0.206,0.0,inf,,0.579257937955408,,0.000999000999000999
llama3,csv,uniform,10,4.0,250,16775,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,json,uniform,10,4.0,250,17275,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,scientific,uniform,10,4.0,250,22000,0.0,0.022645520000277794,0.022299999967799522,6.364418597500146e-08,4.5215276745958895e-08,6.9748,0.0036,4.8252850581466156e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
llama3,natural_language,uniform,10,4.0,250,18275,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,digit_by_digit,uniform,10,4.0,250,53472,1.0,499343.8113553201,493825.94775000005,0.9999630270155936,0.9999907638728927,0.0,0.0,0.9999927534249482,0.7552576939990501,0.04764143891669674,0.05110438636031115,0.004995004995004995
mistral,csv,uniform,10,4.0,250,31736,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,json,uniform,10,4.0,250,31986,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,scientific,uniform,10,4.0,250,34750,0.0,0.022645520000277794,0.022299999967799522,6.364418597500146e-08,4.5215276745958895e-08,6.9748,0.0036,4.8252850581466156e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
mistral,natural_language,uniform,10,4.0,250,32986,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,digit_by_digit,uniform,10,4.0,250,53722,1.0,499343.8113553201,493825.94775000005,0.9999630270155936,0.9999907638728927,0.0,0.0,0.9999927534249482,0.7552576939990501,0.04764143891669674,0.05110438636031115,0.004995004995004995
gpt4o,csv,uniform,10,4.0,250,16775,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,json,uniform,10,4.0,250,17275,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,scientific,uniform,10,4.0,250,22000,0.0,0.022645520000277794,0.022299999967799522,6.364418597500146e-08,4.5215276745958895e-08,6.9748,0.0036,4.8252850581466156e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
gpt4o,natural_language,uniform,10,4.0,250,18275,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,digit_by_digit,uniform,10,4.0,250,53472,1.0,499343.8113553201,493825.94775000005,0.9999630270155936,0.9999907638728927,0.0,0.0,0.9999927534249482,0.7552576939990501,0.04764143891669674,0.05110438636031115,0.004995004995004995
python_str,csv,uniform,10,4.0,250,31486,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,json,uniform,10,4.0,250,31986,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,scientific,uniform,10,4.0,250,34500,0.0,0.022645520000277794,0.022299999967799522,6.364418597500146e-08,4.5215276745958895e-08,6.9748,0.0036,4.8252850581466156e-08,0.9999999999999989,0.9999999999999998,0.9999999999999895,0.000999000999000999
python_str,natural_language,uniform,10,4.0,250,36486,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,digit_by_digit,uniform,10,4.0,250,58222,1.0,499343.8113553201,493825.94775000005,0.9999630270155936,0.9999907638728927,0.0,0.0,0.9999927534249482,0.7552576939990501,0.04764143891669674,0.05110438636031115,0.004995004995004995
float16,native,uniform,10,8.0,250,0,0.0,inf,inf,inf,inf,0.206,0.0,inf,,0.579257937955408,,0.000999000999000999
llama3,csv,uniform,10,8.0,250,19470,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,json,uniform,10,8.0,250,19970,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,scientific,uniform,10,8.0,250,22000,0.0,0.022644554664706676,0.022311159962555394,6.369878990191647e-08,4.53559006785914e-08,6.9484,0.0,4.825144280189676e-08,0.9999999999999989,0.9999999999999998,0.9999999999999898,0.000999000999000999
llama3,natural_language,uniform,10,8.0,250,20970,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,digit_by_digit,uniform,10,8.0,250,73450,1.0,499343.85415611503,493825.947757585,0.9999632281758449,0.9999908384978808,0.0,0.0,0.999992816163012,0.7526525686598136,0.05164654683834999,0.04413333510444279,0.011988011988011988
mistral,csv,uniform,10,8.0,250,41725,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,json,uniform,10,8.0,250,41975,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,scientific,uniform,10,8.0,250,34750,0.0,0.022644554664706676,0.022311159962555394,6.369878990191647e-08,4.53559006785914e-08,6.9484,0.0,4.825144280189676e-08,0.9999999999999989,0.9999999999999998,0.9999999999999898,0.000999000999000999
mistral,natural_language,uniform,10,8.0,250,42975,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,digit_by_digit,uniform,10,8.0,250,73700,1.0,499343.85415611503,493825.947757585,0.9999632281758449,0.9999908384978808,0.0,0.0,0.999992816163012,0.7526525686598136,0.05164654683834999,0.04413333510444279,0.011988011988011988
gpt4o,csv,uniform,10,8.0,250,19470,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,json,uniform,10,8.0,250,19970,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,scientific,uniform,10,8.0,250,22000,0.0,0.022644554664706676,0.022311159962555394,6.369878990191647e-08,4.53559006785914e-08,6.9484,0.0,4.825144280189676e-08,0.9999999999999989,0.9999999999999998,0.9999999999999898,0.000999000999000999
gpt4o,natural_language,uniform,10,8.0,250,20970,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,digit_by_digit,uniform,10,8.0,250,73450,1.0,499343.85415611503,493825.947757585,0.9999632281758449,0.9999908384978808,0.0,0.0,0.999992816163012,0.7526525686598136,0.05164654683834999,0.04413333510444279,0.011988011988011988
python_str,csv,uniform,10,8.0,250,41475,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,json,uniform,10,8.0,250,41975,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,scientific,uniform,10,8.0,250,34500,0.0,0.022644554664706676,0.022311159962555394,6.369878990191647e-08,4.53559006785914e-08,6.9484,0.0,4.825144280189676e-08,0.9999999999999989,0.9999999999999998,0.9999999999999898,0.000999000999000999
python_str,natural_language,uniform,10,8.0,250,46475,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,digit_by_digit,uniform,10,8.0,250,78200,1.0,499343.85415611503,493825.947757585,0.9999632281758449,0.9999908384978808,0.0,0.0,0.999992816163012,0.7526525686598136,0.05164654683834999,0.04413333510444279,0.011988011988011988
float16,native,uniform,100,,250,0,0.0,8.116641551994677e-05,6.0780974576124525e-05,0.00016905819304043507,0.00016254606456975402,3.3434,0.0,0.00018379030451445171,0.999999983314378,0.9999949234707626,0.9999998108509125,0.000999000999000999
llama3,csv,uniform,100,,250,247829,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,json,uniform,100,,250,248329,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,scientific,uniform,100,,250,224500,0.0,2.2718085781202006e-08,2.213603884915205e-08,6.393255952368226e-08,4.551494981644302e-08,6.9454,0.0,4.750991685497742e-08,0.9999999999999989,0.9999999999999998,0.9999999999999888,0.000999000999000999
llama3,natural_language,uniform,100,,250,249329,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,digit_by_digit,uniform,100,,250,913268,1.0,3.89587019602276,3.722805927407821,52.26889593978546,7.35636253359524,0.00848,0.0,8.301539742973338,0.7075384172989669,-0.012553722354037667,0.002451555456779699,0.4305694305694306
mistral,csv,uniform,100,,250,506637,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,json,uniform,100,,250,506887,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,scientific,uniform,100,,250,349750,0.0,2.2718085781202006e-08,2.213603884915205e-08,6.393255952368226e-08,4.551494981644302e-08,6.9454,0.0,4.750991685497742e-08,0.9999999999999989,0.9999999999999998,0.9999999999999888,0.000999000999000999
mistral,natural_language,uniform,100,,250,507887,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,digit_by_digit,uniform,100,,250,913518,1.0,3.89587019602276,3.722805927407821,52.26889593978546,7.35636253359524,0.00848,0.0,8.301539742973338,0.7075384172989669,-0.012553722354037667,0.002451555456779699,0.4305694305694306
gpt4o,csv,uniform,100,,250,247829,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,json,uniform,100,,250,248329,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,scientific,uniform,100,,250,224500,0.0,2.2718085781202006e-08,2.213603884915205e-08,6.393255952368226e-08,4.551494981644302e-08,6.9454,0.0,4.750991685497742e-08,0.9999999999999989,0.9999999999999998,0.9999999999999888,0.000999000999000999
gpt4o,natural_language,uniform,100,,250,249329,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,digit_by_digit,uniform,100,,250,913268,1.0,3.89587019602276,3.722805927407821,52.26889593978546,7.35636253359524,0.00848,0.0,8.301539742973338,0.7075384172989669,-0.012553722354037667,0.002451555456779699,0.4305694305694306
python_str,csv,uniform,100,,250,506387,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,json,uniform,100,,250,506887,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,scientific,uniform,100,,250,349500,0.0,2.2718085781202006e-08,2.213603884915205e-08,6.393255952368226e-08,4.551494981644302e-08,6.9454,0.0,4.750991685497742e-08,0.9999999999999989,0.9999999999999998,0.9999999999999888,0.000999000999000999
python_str,natural_language,uniform,100,,250,511387,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,digit_by_digit,uniform,100,,250,963024,1.0,3.89587019602276,3.722805927407821,52.26889593978546,7.35636253359524,0.00848,0.0,8.301539742973338,0.7075384172989669,-0.012553722354037667,0.002451555456779699,0.4305694305694306
float16,native,uniform,100,2.0,250,0,0.0,8.178095703124737e-05,5.859375000000222e-05,0.0001680161817769186,0.00016276041666670368,3.7139580734720155,0.04148,0.0001854749454426919,0.9999999829998062,1.0,0.9999998162760473,0.000999000999000999
llama3,csv,uniform,100,2.0,250,124500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,json,uniform,100,2.0,250,125000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,scientific,uniform,100,2.0,250,224500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,natural_language,uniform,100,2.0,250,126000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,digit_by_digit,uniform,100,2.0,250,194374,1.0,2.9572216000000004,1.71,15.519079829567938,3.3478260869565215,0.012996418943387116,0.00248,7.068913778267306,0.6071872872313794,0.004849068501404979,0.10015087939839905,0.000999000999000999
mistral,csv,uniform,100,2.0,250,147187,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,json,uniform,100,2.0,250,147437,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,scientific,uniform,100,2.0,250,349750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,natural_language,uniform,100,2.0,250,148437,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,digit_by_digit,uniform,100,2.0,250,194624,1.0,2.9572216000000004,1.71,15.519079829567938,3.3478260869565215,0.012996418943387116,0.00248,7.068913778267306,0.6071872872313794,0.004849068501404979,0.10015087939839905,0.000999000999000999
gpt4o,csv,uniform,100,2.0,250,124500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,json,uniform,100,2.0,250,125000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,scientific,uniform,100,2.0,250,224500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,natural_language,uniform,100,2.0,250,126000,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,digit_by_digit,uniform,100,2.0,250,194374,1.0,2.9572216000000004,1.71,15.519079829567938,3.3478260869565215,0.012996418943387116,0.00248,7.068913778267306,0.6071872872313794,0.004849068501404979,0.10015087939839905,0.000999000999000999
python_str,csv,uniform,100,2.0,250,146937,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,json,uniform,100,2.0,250,147437,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,scientific,uniform,100,2.0,250,349500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,natural_language,uniform,100,2.0,250,151937,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,digit_by_digit,uniform,100,2.0,250,244124,1.0,2.9572216000000004,1.71,15.519079829567938,3.3478260869565215,0.012996418943387116,0.00248,7.068913778267306,0.6071872872313794,0.004849068501404979,0.10015087939839905,0.000999000999000999
float16,native,uniform,100,4.0,250,0,0.0,8.141290566253676e-05,6.0937500000024514e-05,0.00016980000050909074,0.00016339372568095805,3.345747659812785,0.0014,0.000184309261909757,0.9999999832367745,0.9999962796033696,0.9999997975577744,0.000999000999000999
llama3,csv,uniform,100,4.0,250,146979,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,json,uniform,100,4.0,250,147479,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,scientific,uniform,100,4.0,250,224500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,natural_language,uniform,100,4.0,250,148479,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
llama3,digit_by_digit,uniform,100,4.0,250,293834,1.0,3.425297304,2.83965,38.45326171005732,5.701963705459631,0.009920793663493079,8e-05,7.7141501469718845,0.6620500700790565,0.007729411127715519,0.07239648663032844,0.000999000999000999
mistral,csv,uniform,100,4.0,250,196917,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,json,uniform,100,4.0,250,197167,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,scientific,uniform,100,4.0,250,349750,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,natural_language,uniform,100,4.0,250,198167,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
mistral,digit_by_digit,uniform,100,4.0,250,294084,1.0,3.425297304,2.83965,38.45326171005732,5.701963705459631,0.009920793663493079,8e-05,7.7141501469718845,0.6620500700790565,0.007729411127715519,0.07239648663032844,0.000999000999000999
gpt4o,csv,uniform,100,4.0,250,146979,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,json,uniform,100,4.0,250,147479,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,scientific,uniform,100,4.0,250,224500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,natural_language,uniform,100,4.0,250,148479,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
gpt4o,digit_by_digit,uniform,100,4.0,250,293834,1.0,3.425297304,2.83965,38.45326171005732,5.701963705459631,0.009920793663493079,8e-05,7.7141501469718845,0.6620500700790565,0.007729411127715519,0.07239648663032844,0.000999000999000999
python_str,csv,uniform,100,4.0,250,196667,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,json,uniform,100,4.0,250,197167,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,scientific,uniform,100,4.0,250,349500,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,natural_language,uniform,100,4.0,250,201667,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,1.0,0.9999999999999999,0.000999000999000999
python_str,digit_by_digit,uniform,100,4.0,250,343584,1.0,3.425297304,2.83965,38.45326171005732,5.701963705459631,0.009920793663493079,8e-05,7.7141501469718845,0.6620500700790565,0.007729411127715519,0.07239648663032844,0.000999000999000999
float16,native,uniform,100,8.0,250,0,0.0,8.116642968946518e-05,6.077828125000684e-05,0.00016905526417099924,0.00016255005530461426,3.34332,0.0,0.00018379031906655708,0.9999999833143751,0.9999949234707626,0.9999998108514371,0.000999000999000999
llama3,csv,uniform,100,8.0,250,174251,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,json,uniform,100,8.0,250,174751,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,scientific,uniform,100,8.0,250,224500,0.0,2.250399999792041e-08,1.9999999989472883e-08,5.760063518965853e-08,4.0868775951397926e-08,8.54416,0.18904,4.7981285972704624e-08,0.9999999999999989,0.9999999999999998,0.9999999999999889,0.000999000999000999
llama3,natural_language,uniform,100,8.0,250,175751,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,digit_by_digit,uniform,100,8.0,250,493932,1.0,3.6963623891875996,3.394454945,62.413259523229016,6.752297041939501,0.00924,0.0,8.055431547747087,0.6939078618764146,0.014455433149811962,0.03221444137411659,0.05194805194805195
mistral,csv,uniform,100,8.0,250,296969,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,json,uniform,100,8.0,250,297219,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,scientific,uniform,100,8.0,250,349750,0.0,2.250399999792041e-08,1.9999999989472883e-08,5.760063518965853e-08,4.0868775951397926e-08,8.54416,0.18904,4.7981285972704624e-08,0.9999999999999989,0.9999999999999998,0.9999999999999889,0.000999000999000999
mistral,natural_language,uniform,100,8.0,250,298219,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
mistral,digit_by_digit,uniform,100,8.0,250,494182,1.0,3.6963623891875996,3.394454945,62.413259523229016,6.752297041939501,0.00924,0.0,8.055431547747087,0.6939078618764146,0.014455433149811962,0.03221444137411659,0.05194805194805195
gpt4o,csv,uniform,100,8.0,250,174251,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,json,uniform,100,8.0,250,174751,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,scientific,uniform,100,8.0,250,224500,0.0,2.250399999792041e-08,1.9999999989472883e-08,5.760063518965853e-08,4.0868775951397926e-08,8.54416,0.18904,4.7981285972704624e-08,0.9999999999999989,0.9999999999999998,0.9999999999999889,0.000999000999000999
gpt4o,natural_language,uniform,100,8.0,250,175751,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
gpt4o,digit_by_digit,uniform,100,8.0,250,493932,1.0,3.6963623891875996,3.394454945,62.413259523229016,6.752297041939501,0.00924,0.0,8.055431547747087,0.6939078618764146,0.014455433149811962,0.03221444137411659,0.05194805194805195
python_str,csv,uniform,100,8.0,250,296719,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,json,uniform,100,8.0,250,297219,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,scientific,uniform,100,8.0,250,349500,0.0,2.250399999792041e-08,1.9999999989472883e-08,5.760063518965853e-08,4.0868775951397926e-08,8.54416,0.18904,4.7981285972704624e-08,0.9999999999999989,0.9999999999999998,0.9999999999999889,0.000999000999000999
python_str,natural_language,uniform,100,8.0,250,301719,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
python_str,digit_by_digit,uniform,100,8.0,250,543688,1.0,3.6963623891875996,3.394454945,62.413259523229016,6.752297041939501,0.00924,0.0,8.055431547747087,0.6939078618764146,0.014455433149811962,0.03221444137411659,0.05194805194805195
float16,native,uniform,100,,250,0,0.0,0.00891523475713762,0.006432965351086395,0.0001770935016281609,0.00016898147511596622,3.32852,0.0,0.0002087298657446095,0.999999978534205,0.9999944914243537,0.9999997266005625,0.000999000999000999
llama3,csv,uniform,100,,250,225125,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,json,uniform,100,,250,225625,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
llama3,scientific,uniform,100,,250,224500,0.0,2.2718085781003166e-06,2.213603887746274e-06,6.393255952346669e-08,4.551494979274516e-08,6.9454,0.0,4.750991685465503e-08,0.9999999999999989,0.9999999999999998,0.9999999999999871,0.000999000999000999
llama3,natural_language,uniform,100,,250,226625,0.0,0.0,0.0,0.0,0.0,16.0,1.0,0.0,1.0,0.9999999999999998,1.0,0.000999000999000999
